mdb_id,address,street,postalcode,city,lat,lon
2314,,,,,,
2315,,,,,,
2316,,,,,,
2317,,,,,,
2318,"Westliche Karl-Friedrich-Str. 28, 75172 Pforzheim",Westliche Karl-Friedrich-Str. 28,75172,Pforzheim,48.891825600000004,8.70015012038029
2319,"Im Kreuzkampe 1, 30655 Hannover",Im Kreuzkampe 1,30655,Hannover,52.4011651,9.7834366
2019,,,,,,
2320,,,,,,
2321,"Rathausgasse 5, 94481 Grafenau",Rathausgasse 5,94481,Grafenau,48.8558553,13.3977789
2322,,,,,,
1769,"Langenhof 2, 26160 Bad Zwischenahn",Langenhof 2,26160,Bad Zwischenahn,53.182088,7.997872661484103
1769,"Unterm Berg 20, 26123 Oldenburg",Unterm Berg 20,26123,Oldenburg,53.148544,8.233907174549918
2020,"Osianderstraße 2, 73230 Kirchheim/Teck",Osianderstraße 2,73230,Kirchheim/Teck,,
2021,"Hattersheimer Straße 46, 65719 Hofheim am Taunus",Hattersheimer Straße 46,65719,Hofheim am Taunus,50.0819424,8.454493499999987
2022,,,,,,
1771,"Gartenstr. 27, 24103 Kiel",Gartenstr. 27,24103,Kiel,54.3267835,10.131042
2323,"Fritz-Erler-Str. 2, 50374 Erftstadt",Fritz-Erler-Str. 2,50374,Erftstadt,50.81326975,6.814544572772237
2323,"Hochstr. 34, 53879 Euskirchen",Hochstr. 34,53879,Euskirchen,50.6599047,6.786711
1383,"Helene-Lange-Straße 1, 20144 Hamburg",Helene-Lange-Straße 1,20144,Hamburg,53.5741541,9.9768221
2324,"Strelitzer Str. 37, 17235 Neustrelitz",Strelitzer Str. 37,17235,Neustrelitz,53.3597675,13.0676398
2324,"Domstraße 4, 18273 Güstrow",Domstraße 4,18273,Güstrow,53.79229795,12.175378818675675
1642,,,,,,
2325,"Braunschweiger Straße 71, 12055 Berlin",Braunschweiger Straße 71,12055,Berlin,52.4705804,13.4441408
1773,,,,,,
1653,"Ziegetsdorfer Straße 109, 93051 Regensburg",Ziegetsdorfer Straße 109,93051,Regensburg,49.00884445,12.057047499999996
2326,,,,,,
2327,,,,,,
2328,"Rochlitzer Str. 73, 09648 Mittweida",Rochlitzer Str. 73,09648,Mittweida,50.9860592,12.974356938225593
2023,"Luitpoldstraße 53, 96052 Bamberg",Luitpoldstraße 53,96052,Bamberg,49.9003841,10.89743186299073
2023,"Paradeplatz 19, 91301 Forchheim",Paradeplatz 19,91301,Forchheim,49.718447350000005,11.060370140803148
1774,"Schillerplatz 10, 73033 Göppingen",Schillerplatz 10,73033,Göppingen,48.7044851,9.6499974
1229,"Obere Marktstraße 1, 97688 Bad Kissingen",Obere Marktstraße 1,97688,Bad Kissingen,50.2000825,10.0766237
2329,"Marienstraße 3, 83607 Holzkirchen",Marienstraße 3,83607,Holzkirchen,47.8781516,11.7016917
1775,,,,,,
1776,,,,,,
2330,,,,,,
2331,,,,,,
2288,"Niederste Straße 15, 57439 Attendorn",Niederste Straße 15,57439,Attendorn,51.126215349999995,7.905693106534173
2288,"Breitenfeld 1B, 58507 Lüdenscheid",Breitenfeld 1B,58507,Lüdenscheid,51.22701455,7.615984390547958
1385,,,,,,
2599,,,,,,
1297,,,,,,
973,,,,,,
2593,,,,,,
1607,"Krummacherstraße 33, 47051 Duisburg",Krummacherstraße 33,47051,Duisburg,51.42811835,6.762685171513258
2025,"Neustadt 455, 84028 Landshut",Neustadt 455,84028,Landshut,48.5364138,12.1538987
2332,,,,,,
2026,,,,,,
2029,"Dresdener Str. 10, 10999 Berlin",Dresdener Str. 10,10999,Berlin,52.50049045,13.417581726728688
2029,"Schreinerstr. 6, 10247 Berlin",Schreinerstr. 6,10247,Berlin,52.5175553,13.4635705
2335,"Burchardstraße 19, 20095 Hamburg",Burchardstraße 19,20095,Hamburg,53.5492417,10.0001844
2333,,,,,,
2334,,,,,,
2030,"Bawinkeler Str. 3, 49838 Langen",Bawinkeler Str. 3,49838,Langen,52.5409283,7.4658523
2030,"Osnabrücker Str. 38, 49170 Hagen",Osnabrücker Str. 38,49170,Hagen,52.1973659,7.9818221
2441,,,,,,
2336,,,,,,
2337,"Paulinenstraße 39, 32756 Detmold",Paulinenstraße 39,32756,Detmold,51.9370337,8.874636
2337,"Mittelstraße 3, 32657 Lemgo",Mittelstraße 3,32657,Lemgo,52.0279454,8.905879542100763
2338,,,,,,
2032,,,,,,
2033,"Hamburger Straße 29, 23795 Bad Segeberg",Hamburger Straße 29,23795,Bad Segeberg,53.93857895,10.301112786533547
1558,"Friedrichstraße 140a, 42551 Velbert",Friedrichstraße 140a,42551,Velbert,51.341152050000005,7.042796376369822
2036,,,,,,
1566,"Uhlandstraße 21, 71638 Ludwigsburg",Uhlandstraße 21,71638,Ludwigsburg,48.8955032,9.1836971
1656,"Severinswall 37, 50678 Köln",Severinswall 37,50678,Köln,50.92292305,6.9623593769053755
