mdb_id,name,wahlkreis_id,wahlkreis_name,fraktion,url,geburtsdatum,partei,mandatsart,img_url
2314,"Abdi, Sanae",93,Köln I,SPD,https://www.bundestag.de/abgeordnete/biografien/A/abdi_sanae-861028,07.07.1986,SPD,Direktwahl,https://www.bundestag.de/resource/image/861934/3x4/284/379/5b26c151e0c52140dbe629d01df7397f/226D544E0CE42C1C66E919CAB8162200/abdi_sanae.jpg
2315,"Abel, Valentin",268,Schwäbisch Hall – Hohenlohe,FDP,https://www.bundestag.de/abgeordnete/biografien/A/abel_valentin-860100,07.02.1991,FDP,Landesliste,https://www.bundestag.de/resource/image/862872/3x4/284/379/f66f94cd04f3ee6eac01ee1525b105a/FA32EA56646DBBD14FB3A8E977B61D68/Abel_Valentin.png
2316,"Abraham, Knut",65,Elbe-Elster – Oberspreewald-Lausitz II,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/abraham_knut-860546,04.06.1966,CDU,Landesliste,https://www.bundestag.de/resource/image/861936/3x4/284/379/78214591bf344436613ca4fd179899f8/00826FA2ED63440C3404459B7786DF77/abraham_knut.jpg
2317,"Adler, Katja",176,Hochtaunus,FDP,https://www.bundestag.de/abgeordnete/biografien/A/adler_katja-860102,20.05.1974,FDP,Landesliste,https://www.bundestag.de/resource/image/861938/3x4/284/379/35b690e42619c3c2d54fa341b1cb8fef/2FF01E014F6E578BBED4BF7973DCD2F4/adler_katja.jpg
2318,"Aeffner, Stephanie",279,Pforzheim,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/A/aeffner_stephanie-860154,29.04.1976,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/861940/3x4/284/379/b0a4aa7dd1ff57fc0b22878ac8f7302e/8DB731E7CF21511E604BFE53D153F5E5/aeffner_stephanie.jpg
2319,"Ahmetović, Adis",41,Stadt Hannover I,SPD,https://www.bundestag.de/abgeordnete/biografien/A/ahmetovic_adis-861876,,,,https://www.bundestag.de/resource/image/865916/3x4/284/379/2e9ab75d9594b06e0c8fe88ba9e9130c/B3FF71F4081851EACF06CF9E1F712834/ahmetovic_adis.jpg
2019,"Akbulut, Gökay",275,Mannheim,Gruppe Die Linke,https://www.bundestag.de/abgeordnete/biografien/A/akbulut_goekay-857082,16.11.1982,DIE LINKE.,Landesliste,https://www.bundestag.de/resource/image/864082/3x4/284/379/c013c6f333844c5fe13c9ec9d478524d/30EA820FA9E75F2121FA0E55989D888C/akbulut_gokay_gross.jpg
2320,"Al-Dailami, Ali",173,Gießen,Gruppe BSW,https://www.bundestag.de/abgeordnete/biografien/A/al_dailami_ali-860114,27.12.1981,Plos,Landesliste,https://www.bundestag.de/resource/image/869866/3x4/284/379/1d6a032dc23fa8695e4eaa10b2677480/35A3016223D50EF605D6787B764B186C/al_dailami_ali.jpg
2321,"Al-Halak, Muhanad",227,Deggendorf,FDP,https://www.bundestag.de/abgeordnete/biografien/A/al_halak_muhanad-860118,31.07.1989,FDP,Landesliste,https://www.bundestag.de/resource/image/861942/3x4/284/379/c1e640d0c9a26becc112a85a5234da9b/223D3CC8F45156D8E847C7A1B5F9344E/al-halak_muhanad.jpg
2322,"Alabali-Radovan, Reem",12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,SPD,https://www.bundestag.de/abgeordnete/biografien/A/alabali_radovan_reem-860830,01.05.1990,SPD,Direktwahl,https://www.bundestag.de/resource/image/869604/3x4/284/379/4a9c3c200052c063092baa2d78e104/2079F720D2A90C80CFCA3592EC21784B/alabali_radovan_reem.jpg
1769,"Albani, Stephan",27,Oldenburg – Ammerland,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/albani_stephan-857088,03.06.1968,CDU,Landesliste,https://www.bundestag.de/resource/image/864084/3x4/284/379/cb92f794e914eeca657d193837b7b8a6/79F60B2138D17B72AA710E504022FBDE/albani_stephan_gross.jpg
2020,"Alt, Renata",262,Nürtingen,FDP,https://www.bundestag.de/abgeordnete/biografien/A/alt_renata-857098,27.08.1965,FDP,Landesliste,https://www.bundestag.de/resource/image/864090/3x4/284/379/5c7fc3068af85497db066f2631482f82/ECA753FA0C6623C1E82B8E7464F30491/alt_renata_gross.jpg
2021,"Altenkamp, Norbert Maria",181,Main-Taunus,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/altenkamp_norbert-857102,27.07.1972,CDU,Direktwahl,https://www.bundestag.de/resource/image/864086/3x4/284/379/12131de4c5e5904474dd4d5f05893802/A9837F8E4F599C6672E5C1338850E92A/altenkamp_norbert_gross.jpg
2022,"Amthor, Philipp",16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,CDU/CSU,https://www.bundestag.de/abgeordnete/biografien/A/amthor_philipp-857086,10.11.1992,CDU,Landesliste,https://www.bundestag.de/resource/image/864094/3x4/284/379/59ee529149caa63ce1c0370b5496cc23/086600CAD9E2D831BDE3B22F57AE2F36/amthor_philipp_gross.jpg
1771,"Amtsberg, Luise",5,Kiel,Bündnis 90/Die Grünen,https://www.bundestag.de/abgeordnete/biografien/A/amtsberg_luise-857104,17.10.1984,BÜNDNIS 90/DIE GRÜNEN,Landesliste,https://www.bundestag.de/resource/image/864092/3x4/284/379/683c585f5ac6b04f1acdd5335c97bcd1/CDA1C8DDB518886FE07685B30F9E727A/amtsberg_luise_gross.jpg
2323,"Andres, Dagmar",92,Euskirchen – Rhein-Erft-Kreis II,SPD,https://www.bundestag.de/abgeordnete/biografien/A/andres_dagmar-860980,03.12.1969,SPD,Landesliste,https://www.bundestag.de/resource/image/862522/3x4/284/379/c56d90b849d0da83d70afc2aad574c2a/EA495F680EF819AAC89B61145C383D9F/andres_dagmar.jpg
1383,"Annen, Niels",20,Hamburg-Eimsbüttel,SPD,https://www.bundestag.de/abgeordnete/biografien/A/annen_niels-857106,06.04.1973,SPD,Landesliste,https://www.bundestag.de/resource/image/864074/3x4/284/379/f02edc5dbec51139795dfc21fae115e4/C787BFBB7EC1EE796B5EC18C7A6371C1/annen_niels_bild.jpg
