mdb_id,ausschuss_id,funktion
2314,a11,
2315,a11,
2316,a11,
2317,a11,
2318,a11,o.M.
2319,a11,
2019,a11,
2320,a11,
2321,a11,
2322,a11,
1769,a11,
2020,a11,
2021,a11,stv.M.
2022,a11,
1771,a11,
2323,a11,
1383,a11,
2324,a11,
1642,a11,
2325,a11,o.M.
1773,a11,
1653,a11,o.M.
2326,a11,
2327,a11,
2328,a11,
2023,a11,
1774,a11,stv.M.
1229,a11,
2329,a11,
1775,a11,
1776,a11,
2330,a11,
2331,a11,
2288,a11,
1385,a11,
2599,a11,
1297,a11,
973,a11,
2593,a11,
1607,a11,
2025,a11,
2332,a11,
2026,a11,
2029,a11,
2335,a11,
2333,a11,stv.M.
2334,a11,
2030,a11,O.
2441,a11,
2336,a11,
2337,a11,
2338,a11,stv.M.
2032,a11,
2033,a11,
1558,a11,
2036,a11,O.
1566,a11,
1656,a11,O.
2339,a11,
2037,a11,
2340,a11,
2341,a11,stv.M.
2038,a11,
2342,a11,
2313,a11,
2343,a11,stv.M.
1394,a11,
2039,a11,
2040,a11,
2344,a11,
1648,a11,
2041,a11,
1785,a11,
1175,a11,
2043,a11,
2044,a11,
2045,a11,
1619,a11,stv.M.
2345,a11,
2046,a11,stv.M.
1659,a11,
2047,a11,
2346,a11,
1701,a11,
2347,a11,o.M.
2299,a11,
2048,a11,
2049,a11,
2589,a11,
2348,a11,
1661,a11,
2051,a11,
2053,a11,
2349,a11,
1787,a11,
2054,a11,
2055,a11,
2056,a11,
1264,a11,
2008,a11,
2057,a11,
2058,a11,o.M.
2059,a11,
2350,a11,
2305,a11,
1788,a11,
2060,a11,
1398,a11,
1917,a11,
993,a11,
2351,a11,
2352,a11,
1789,a11,
2353,a11,
2354,a11,o.M.
2355,a11,
2063,a11,
1791,a11,
1646,a11,
1288,a11,
2356,a11,
2064,a11,
1792,a11,
1793,a11,
2357,a11,
2358,a11,
2066,a11,
1794,a11,
1750,a11,
2359,a11,stv.M.
2360,a11,
2361,a11,
2068,a11,
2362,a11,
2309,a11,
2363,a11,
2364,a11,
2365,a11,
2070,a11,
1406,a11,
2071,a11,
1797,a11,
2072,a11,
2073,a11,
1799,a11,
2366,a11,stv.M.
2367,a11,
1800,a11,
1801,a11,
2075,a11,
1335,a11,
2076,a11,o.M.
2368,a11,
2369,a11,
2596,a11,
2077,a11,
1583,a11,
1806,a11,
1195,a11,
2079,a11,
1011,a11,
1665,a11,
2082,a11,
2081,a11,
2371,a11,
2370,a11,
1649,a11,
2372,a11,
2373,a11,
2375,a11,
1808,a11,
2084,a11,
2374,a11,o.M.
1630,a11,
1408,a11,
2376,a11,
2086,a11,
1647,a11,o.M.
2377,a11,
1410,a11,
2378,a11,
2087,a11,
1994,a11,o.M.
2467,a11,
2379,a11,stv.M.
1020,a11,
2380,a11,
1616,a11,
2091,a11,
2381,a11,
2382,a11,
2383,a11,stv.M.
1155,a11,
763,a11,stv.M.
1208,a11,
1269,a11,
2591,a11,
1412,a11,
2384,a11,stv.M.
764,a11,
2093,a11,
1813,a11,
2385,a11,
1815,a11,
2386,a11,
1176,a11,
167,a11,
1816,a11,
2387,a11,
2094,a11,
1324,a11,
1817,a11,
1818,a11,
1637,a11,
1819,a11,
2096,a11,
1620,a11,
2388,a11,
1821,a11,
2389,a11,stv.M.
1416,a11,
1822,a11,
2099,a11,
1824,a11,
1825,a11,stv.M.
2289,a11,
1030,a11,
1586,a11,
2390,a11,
2101,a11,stv.M.
1826,a11,
2391,a11,stv.M.
2392,a11,
1989,a11,
2102,a11,
1760,a11,
2393,a11,
2395,a11,
2394,a11,
2104,a11,stv.M.
2105,a11,stv.M.
2106,a11,
2396,a11,
2397,a11,
2110,a11,
2111,a11,
2605,a11,
1673,a11,
2398,a11,
2112,a11,
1538,a11,
1831,a11,
2114,a11,
2113,a11,
1674,a11,
2399,a11,
1832,a11,
2115,a11,
2116,a11,
1426,a11,
2604,a11,o.M.
2120,a11,
2121,a11,
1833,a11,
2400,a11,
2401,a11,
2122,a11,
2123,a11,
2402,a11,
2403,a11,
217,a11,stv.M.
1578,a11,
2404,a11,O.
2125,a11,
1839,a11,
2127,a11,
1840,a11,
2405,a11,
